id,run_time,total_loss,sgns_loss,dirichlet_loss,pred_loss,div_loss,train_auc,test_auc,dataset.window_size,dataset.min_df,dataset.max_df,fcm.inductive,fcm.inductive_dropout,fcm.embed_dim,fcm.hidden_size,fcm.num_layers,fcm.nnegs,fcm.nconcepts,fcm.lam,fcm.rho,fcm.eta,fit.lr,fit.nepochs,fit.pred_only_epochs,fit.batch_size,fit.grad_clip
02f0be49e1769a0507eb6d448a2da6f5,183.083712274,2251.5418997218576,14.897290824105818,-1036.1633361300087,5332.834362023518,-2061.735499477101,0.9066850293236441,0.9050496314226268,4,0.01,0.8,True,0.01,50,100,1,15,2,100,1000,100,0.01,30,15,16384,1024
872fdd7902e41e3a6f63c489bf6027f1,170.36166537499997,-2145.9084727094746,14.897246502253326,-103.61633334771024,4.207966302011922,-2061.682452408793,0.8506495080037174,0.8411567629602744,4,0.01,0.8,True,0.01,50,100,1,15,2,10,1,100,0.01,30,15,16384,1024
fa57850092430549585efd29f7734d87,171.140253369,53.63170543742584,14.834507661141991,-10.361633291411968,48.52161371971678,0.4922798717567587,0.9968639764744626,0.9957159589912941,4,0.01,0.8,True,0.01,50,100,1,15,2,1,100,1,0.01,30,15,16384,1024
e723316e537e3d76d121406e83ef28fa,167.31246765499998,-10428.709733447013,14.897526922252862,-10361.63290442198,73.33372959981199,-205.86859938989213,0.9990996924786131,0.9983079180234847,4,0.01,0.8,True,0.01,50,100,1,15,2,1000,100,10,0.01,30,15,16384,1024
5f86163b8ce9c800e67417fac1220fe3,168.68552638199992,4879.971707170257,18.5199746331214,-10.354146525241811,5075.728074151387,-204.21059356981857,0.9855002946960771,0.9664098084522306,4,0.01,0.8,True,0.01,50,100,1,15,2,1,1000,10,0.01,30,15,16384,1024
bcebd820f90a7d6da559a7bd3e0841f1,167.377659773,-1216.8491094087503,14.897443405389797,-1036.1633343172207,10.271132104530736,-205.87266008948907,0.9970359678930689,0.9969182445799699,4,0.01,0.8,True,0.01,50,100,1,15,2,100,10,10,0.01,30,15,16384,1024
6fee4e75adc8cc650b3fc80e2f0d76d6,169.9349890970002,-2134.861529173416,14.898451729017747,-103.61633319780172,15.45658855251227,-2061.758579105497,0.9992681337087013,0.9995498218457495,4,0.01,0.8,True,0.01,50,100,1,15,2,10,10,100,0.01,30,15,16384,1024
7f2d99a1603890cb21719f8a333f2c91,168.8927356449999,-1707.98294483464,34.121426358765945,-103.5270482409044,422.59290887377665,-2061.763791012256,0.9960422194098869,0.9946250198091168,4,0.01,0.8,True,0.01,50,100,1,15,2,10,1000,100,0.01,30,15,16384,1024
f5f8c9fd89fc0eea837154747afcb7ac,167.85298837799996,-20698.071759187955,14.890363973983835,-103.61627744242219,10.28221004283153,-20620.129298399937,0.9978328685663205,0.9984877975840545,4,0.01,0.8,True,0.01,50,100,1,15,2,10,1,1000,0.01,30,15,16384,1024
a6aa5e7378ba040d51927fe525283fdd,168.065654796,-10519.077502606968,14.8984117044363,-10361.63285600691,33.13719745740832,-205.88737386089193,0.998685699923825,0.9990561914353047,4,0.01,0.8,True,0.01,50,100,1,15,2,1000,10,10,0.01,30,15,16384,1024
0c4ac2733ab8b3308b8dfa7ff39f56fd,167.2926380099998,-12403.844754742493,14.896964055083112,-10361.63286091507,4.714882961924809,-2061.8916386496367,0.994198636942649,0.9955812889472796,4,0.01,0.8,True,0.01,50,100,1,15,2,1000,1,100,0.01,30,15,16384,1024
542a86398644dd73450fa0037e1b1e0e,167.2293566559997,-207.18481650971484,18.783387376186983,-103.42832950346298,80.53277951372091,-204.30171068439756,0.9972652593543561,0.9955106790309635,4,0.01,0.8,True,0.01,50,100,1,15,2,10,100,10,0.01,30,15,16384,1024
b206004612839599abca6835c8d00fb6,165.17881577000026,-15488.054218141737,14.873854739752558,-103.61615089757778,5119.99209656275,-20620.512369719676,0.9976955675612336,0.9975475035400808,4,0.01,0.8,True,0.01,50,100,1,15,2,10,1000,1000,0.01,30,15,16384,1024
346189ac5e300d1e875d076ed8b89839,164.69945176200008,-1040.684743318455,14.900683809405477,-1036.163332504433,0.76260272597996,-20.190648477556817,0.9900743981563203,0.9876633932633667,4,0.01,0.8,True,0.01,50,100,1,15,2,100,1,1,0.01,30,15,16384,1024
cdd276eeb57120ee010b39cd30366e30,164.56546445999993,-104.23848067027743,14.90146954048906,-103.61633278121401,3.639404170669111,-20.187499068337747,0.17419501047579483,0.1781227794619077,4,0.01,0.8,True,0.01,50,100,1,15,2,10,1,1,0.01,30,15,16384,1024
cf37b5978d37a6d8cfec4911702cccd2,165.38786228000026,-2049.644009767476,14.892140926533989,-10.360695589468818,0.2561310279257608,-2061.699692017108,0.9954237055662717,0.9966602468088152,4,0.01,0.8,True,0.01,50,100,1,15,2,1,1,100,0.01,30,15,16384,1024
d4eb0f0b5cd18de4e6231b79edcf6787,166.93692200899977,-1885.5588272072948,14.976389337205756,-103.61587052028675,250.48156683451717,-2061.8961515978517,0.9969367147654997,0.9970299104883522,4,0.01,0.8,True,0.01,50,100,1,15,2,10,100,100,0.01,30,15,16384,1024
dd0c57672414857f583e28a098404ab6,168.20036402999995,-10336.140922255085,14.903554767372304,-10361.632889919676,30.771202344287847,-20.188360563736403,0.9942612369096181,0.9934642694653327,4,0.01,0.8,True,0.01,50,100,1,15,2,1000,100,1,0.01,30,15,16384,1024
f487cc3818177cb2d21d8e4df2d4cabc,167.04480352099972,-10366.040182197701,14.903002012322847,-10361.63286091507,0.8726540488043415,-20.18626275863566,0.99049308203165,0.9871582607851055,4,0.01,0.8,True,0.01,50,100,1,15,2,1000,1,1,0.01,30,15,16384,1024
11a3e250768da61b08ef54cbadecb5ae,167.63473440100006,-10545.217137283918,14.899439606533184,-10361.63285600691,7.254102657956648,-205.87520557766624,0.9133182370526602,0.9173161074957699,4,0.01,0.8,True,0.01,50,100,1,15,2,1000,1,10,0.01,30,15,16384,1024
