id,run_time,total_loss,sgns_loss,dirichlet_loss,pred_loss,div_loss,train_auc,test_auc,dataset.window_size,dataset.min_df,dataset.max_df,fcm.inductive,fcm.inductive_dropout,fcm.embed_dim,fcm.hidden_size,fcm.num_layers,fcm.nnegs,fcm.nconcepts,fcm.lam,fcm.rho,fcm.eta,fit.lr,fit.nepochs,fit.pred_only_epochs,fit.batch_size,fit.grad_clip
770f44b49f36e69c9772f100f51a15cf,142.84801166800025,-2046.8077647822565,14.89150610246123,0.0,0.0,-2061.727354651158,0.9832888974832754,0.9827430642531069,4,0.01,0.8,True,0.01,50,100,1,15,2,0,0,100,0.01,30,15,16384,1024
732afc6e598d0ebb9152477ac07f1834,143.53374889500037,14.963916453510215,14.478256675361612,0.0,0.0,0.4856597781486038,0.9994672130656999,0.9993482161570825,4,0.01,0.8,True,0.01,50,100,1,15,2,0,0,1,0.01,30,15,16384,1024
e6170fe5042dc196dc2e106b96321013,141.99499771499995,-190.97764409639083,14.890158910581306,0.0,0.0,-205.89354079285212,1.0,1.0,4,0.01,0.8,True,0.01,50,100,1,15,2,0,0,10,0.01,30,15,16384,1024
d6300d20609ed9b52dfbd483e5280d09,142.15360474900035,-20605.752070185506,14.890272342219536,0.0,0.0,-20620.669943670942,0.5158523474160928,0.5204754379731823,4,0.01,0.8,True,0.01,50,100,1,15,2,0,0,1000,0.01,30,15,16384,1024
